,url,name,year,en_name,poster_url,rating,world_fees,budget,country,genre,director,main_actors,lentgh
3694,https://www.kinonews.ru/movie_4499/all-the-kings-men,Вся королевская рать,2006,All the King`s Men,https://www.kinonews.ru/movie_4499/all-the-kings-men,7.2,$9 450 897,$55 000 000,"['США', 'Германия']","['драма', 'триллер']",Стивен Зэйллиан,"['Энтони Хопкинс', 'Джуд Лоу']",128 мин
3695,https://www.kinonews.ru/movie_2988/goyas-ghosts,Призраки Гойи,2006,Goya`s Ghosts,https://www.kinonews.ru/movie_2988/goyas-ghosts,8.6,$9 448 082,$50 000 000,"['США', 'Испания']",['драма'],Милош Форман,"['Натали Портман', 'Стеллан Скарсгард']",113 мин
3696,https://www.kinonews.ru/movie_35824/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,"Доктор Стрейнджлав, или Как я научился не волноваться и полюбил атомную бомбу",1964,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,https://www.kinonews.ru/movie_35824/dr-strangelove-or-how-i-learned-to-stop-worrying-and-love-the-bomb,8.04,$9 440 272,$1 800 000,['Великобритания'],"['комедия', 'триллер']",Стэнли Кубрик,"['Стерлинг Хейден', 'Питер Селлерс']",
3697,https://www.kinonews.ru/movie_1230/veronica-guerin,Охота на Веронику,2003,Veronica Guerin,https://www.kinonews.ru/movie_1230/veronica-guerin,6.0,$9 439 660,$17 000 000,"['США', 'Великобритания', 'Ирландия']","['биографический', 'драма', 'криминал', 'триллер']",Джоэл Шумахер,"['Кейт Бланшетт', 'Колин Фаррелл']",
3698,https://www.kinonews.ru/movie_48445/das-weisse-band-eine-deutsche-kindergeschichte,Белая лента,2009,Das weiße Band - Eine deutsche Kindergeschichte,https://www.kinonews.ru/movie_48445/das-weisse-band-eine-deutsche-kindergeschichte,8.29,$9 429 295,$12 000 000,"['Германия', 'Франция', 'Италия', 'Австрия']","['детектив', 'драма', 'криминал']",Михаэль Ханеке,"['Кристиан Фридель', 'Эрнст Якоби']",
3699,https://www.kinonews.ru/movie_12027/village-of-the-damned,Деревня проклятых,1995,Village of the Damned,https://www.kinonews.ru/movie_12027/village-of-the-damned,7.4,$9 418 365,$22 000 000,['США'],"['ужасы', 'фантастика']",Джон Карпентер,"['Марк Хэмилл', 'Томас Деккер']",
3700,https://www.kinonews.ru/movie_4073/ghost-dog-the-way-of-the-samurai,Пес-призрак: Путь самурая,1999,Ghost Dog: The Way of the Samurai,https://www.kinonews.ru/movie_4073/ghost-dog-the-way-of-the-samurai,8.52,$9 380 473,0,"['США', 'Германия', 'Франция', 'Япония']","['драма', 'криминал', 'триллер']",Джим Джармуш,"['Форест Уитакер', 'Джон Торми']",116 мин
3701,https://www.kinonews.ru/movie_17905/running-scared,Беги без оглядки,2006,Running Scared,https://www.kinonews.ru/movie_17905/running-scared,8.38,$9 379 107,$15 000 000,"['США', 'Германия']","['боевик', 'драма', 'криминал', 'триллер']",Уэйн Крамер,"['Пол Уокер', 'Чазз Пальминтери']",122 мин
3702,https://www.kinonews.ru/movie_85735/in-a-better-world,Месть,2010,Hævnen,https://www.kinonews.ru/movie_85735/in-a-better-world,7.1,$9 374 749,$5 500 000,"['Дания', 'Швеция']","['драма', 'триллер']",Сюзанна Бир,"['Микаэл Персбрандт', 'Уил Джонсон']",
3703,https://www.kinonews.ru/movie_103317/ruby-sparks,Руби Спаркс,2012,Ruby Sparks,https://www.kinonews.ru/movie_103317/ruby-sparks,8.21,$9 368 803,$8 000 000,['США'],"['комедия', 'мелодрама', 'фэнтези']","Джонатан Дэйтон, Валери Фэрис","['Антонио Бандерас', 'Стив Кугэн']",104 мин
3704,https://www.kinonews.ru/movie_12631/were-back-a-dinosaurs-story,Мы вернулись! История динозавра,1993,We`re Back! A Dinosaur`s Story,https://www.kinonews.ru/movie_12631/were-back-a-dinosaurs-story,0.0,$9 317 021,0,['США'],"['мультфильм', 'семейный', 'фэнтези']","Саймон Уэллс, Дик Зондаг, Фил Ниббелинк","['Джон Гудмен', 'Джей Лено']",
3705,https://www.kinonews.ru/movie_6473/secretary,Секретарша,2002,Secretary,https://www.kinonews.ru/movie_6473/secretary,8.0,$9 304 609,$4 000 000,['США'],"['драма', 'комедия', 'мелодрама', 'эротика']",Стивен Шейнберг,"['Мэгги Джилленхол', 'Джулин Рени']",104 мин
3706,https://www.kinonews.ru/movie_1832/bobby-deerfield,Жизнь взаймы,1977,Bobby Deerfield,https://www.kinonews.ru/movie_1832/bobby-deerfield,6.75,$9 300 000,0,['США'],"['драма', 'мелодрама']",Сидни Поллак,"['Аль Пачино', 'Марта Келлер']",
3707,https://www.kinonews.ru/movie_19412/martian-child,Дитя с Марса,2007,Martian Child,https://www.kinonews.ru/movie_19412/martian-child,7.0,$9 292 446,$27 000 000,['США'],"['драма', 'семейный']",Менно Мейес,"['Аманда Пит', 'Джон Кьюсак']",
3708,https://www.kinonews.ru/movie_7006/miracle-at-st-anna,Чудо святой Анны,2008,Miracle at St. Anna,https://www.kinonews.ru/movie_7006/miracle-at-st-anna,0.0,$9 282 871,$45 000 000,['США'],"['боевик', 'военный', 'драма', 'криминал', 'триллер']",Спайк Ли,"['Дерек Люк', 'Майкл Или']",
3709,https://www.kinonews.ru/movie_1828/havana,Гавана,1990,Havana,https://www.kinonews.ru/movie_1828/havana,7.5,$9 243 140,$40 000 000,['США'],['драма'],Сидни Поллак,"['Роберт Редфорд', 'Алан Аркин']",
