url,name,year,en_name,poster_url,rating,world_fees,budget,country,genre,director,main_actors,lentgh,description
https://www.kinonews.ru/movie_7738/v-dvizhenii,В движении,2002,,https://www.kinonews.ru/movie_7738/v-dvizhenii,8.83,$289 397,0,['Россия'],"['драма', 'криминал', 'мелодрама']",Филипп Янковский,"['Константин Хабенский', 'Оксана Фандера']",97 мин,"Новое утро - новая постель, незнакомая женщина. Саша Гурьев имеет у них успех, удача сопровождает его и в карьере. Только вот стоит это все волчьих усилий и бараньего упорства. Чтобы быть на слуху, нужно быть везде и одновременно. А тут еще кризис среднего возраста, и, кажется, усталость от самого себя. Вернуться к некому подобие реальности Саше помогает встреча со старым другом. Последний только что вернулся в Москву. Но тут воронка затягивает успешного журналиста назад, в гущу сплетен и интриг. Выясняется, что в руках у Саши материал, задевающий честь семьи старого друга. Колесо событий вертится быстрее, трагедия приближается, и Гурьев может сделать только одно - не останавливаться.  "
https://www.kinonews.ru/movie_31163/kill-me-again,Убей меня снова,1989,Kill Me Again,https://www.kinonews.ru/movie_31163/kill-me-again,8.0,$283 694,$4 000 000,['США'],"['боевик', 'детектив', 'криминал', 'триллер']",Джон Дал,"['Майкл Мэдсен', 'Джоэнн Уэлли']",94 мин,"Ушлая красотка Фэй грабит курьера мафии, кидает подельника и скрывается с большой суммой денег. Чтобы окончательно замести следы, она очаровывает частного детектива и нанимает его сымитировать ее смерть. В результате парень оказывается под прицелом мафии, полиции и дружков Фэй."
https://www.kinonews.ru/movie_61638/dom-za-vesanje,Время цыган,1988,Dom za vesanje,https://www.kinonews.ru/movie_61638/dom-za-vesanje,8.33,$280 015,0,"['Великобритания', 'Италия', 'Югославия']","['драма', 'комедия', 'криминал', 'фэнтези']",Эмир Кустурица,"['Давор Дуймович', 'Бора Тодорович']",142 мин,"История юноши по имени Перхан, цыгана, обладающего телекинезом. Он живет с бабушкой-целительницей, дядей-картежником и сестрой-калекой, он влюбляется в красавицу Азру, он отвергается ее родителями из-за собственной нищеты и честности, он отправляется в путь с богатым цыганом Ахметом, он поступается моральными принципами ради семьи и любимой, он возвращается домой, и обнаруживает, что все было напрасно... и сердце его загорается жаждой мщения. "
https://www.kinonews.ru/movie_21504/a-single-man,Одинокий мужчина,2009,A Single Man,https://www.kinonews.ru/movie_21504/a-single-man,7.59,$279 749,0,['США'],['драма'],Том Форд,"['Джиннифер Гудвин', 'Колин Ферт']",,"История английского профессора, пытающегося после смерти своего американского коллеги снова найти смысл жизни."
https://www.kinonews.ru/movie_12488/equinox,Равноденствие,1992,Equinox,https://www.kinonews.ru/movie_12488/equinox,0.0,$279 627,0,['США'],"['детектив', 'драма', 'криминал', 'триллер']",Алан Рудольф,"['Мэтью Модайн', 'Лара Флинн Бойл']",,"Генри и Фрэдди - два близнеца. Первый - честный и порядочный человек, в то время как второй - бессердечный и хладнокровный гангстер. О существовании друг друга они и не догадывались до недавнего времени, равно как и о большом наследстве, недавно оставленном их отцом. Теперь им предстоит встретиться лицом к лицу, где будет решена судьба их обоих."
https://www.kinonews.ru/movie_421/every-time-we-say-goodbye,Мы всегда говорим до свидания,1986,Every Time We Say Goodbye,https://www.kinonews.ru/movie_421/every-time-we-say-goodbye,0.0,$278 623,0,"['США', 'Израиль']","['военный', 'драма', 'мелодрама']",Моше Мизрахи,"['Том Хэнкс', 'Кристина Марсиллах']",," Он был американским летчиком. Судьба занесла его в Иерусалим. Благодаря своему английскому другу он смог найти приют в небольшой еврейской семье. Вскоре между ним и дочерью хозяина дома вспыхнули чувства. Но между ними стояли не только религия, но и происхождение и убеждения, и семья девушки. "
https://www.kinonews.ru/movie_12341/leaving,Влечение,2009,Leaving,https://www.kinonews.ru/movie_12341/leaving,6.5,$273 724,$7 600 000,['Франция'],"['драма', 'мелодрама', 'эротика']",Катрин Корсини,"['Кристин Скотт Томас', 'Сержи Лопес']",,"Жена преуспевающего хирурга и внимательная мать для двух своих детей Сюзанна живет благополучной, размеренно-скучной жизнью. Ее спокойный семейный мирок оказывается под угрозой разрушения после того, как неожиданно для самой себя она влюбляется в наемного рабочего Ивана."
https://www.kinonews.ru/movie_9134/zaimemsya-lyubov,Займемся любовью,2002,,https://www.kinonews.ru/movie_9134/zaimemsya-lyubov,8.0,$273 124,0,['Россия'],"['драма', 'комедия']",Денис Евстигнеев,"['Евгений Цыганов', 'Анастасия Цветаева']",86 мин,"Ему 17. И он хочет секса. А еще - какой-то сказочной, неземной любви, чтобы было ""как пружок с парашютом: захватывало дыхание, и на грани: упал или взлетел"". Но бывает так, что ты не просто не можешь никак вписаться к девушке в доверие, бывает, что эта девушка просто считает тебя непривлекательным, несексуальным, не ""мужиком"". И тогда приходит момент, когда нужно совершать безрассудные поступки и бороться за свой первый секс."
https://www.kinonews.ru/movie_21329/heart-like-a-wheel,"Сердце, как колесо",1983,Heart Like a Wheel,https://www.kinonews.ru/movie_21329/heart-like-a-wheel,0.0,$272 278,0,['США'],"['биографический', 'драма', 'спорт']",Джонатан Каплан,"['Энтони Эдвардс', 'Бо Бриджес']",,"Ширли Малдоуни бросает вызов лучшим гонщикам, участником очень опасного соревнования. Она - первая женщина - участница. Несмотря на огромное давление со стороны, на начавшиеся проблемы в личной жизни, Ширли не собиралась отказываться от своей идеи."
https://www.kinonews.ru/movie_35533/american-dream,Американская мечта,1990,American Dream,https://www.kinonews.ru/movie_35533/american-dream,10.0,$269 823,0,"['США', 'Великобритания']",['документальный'],"Барбара Коппл, Кэти Каплан, Томас Ханеке","['Джесси Джексон', 'Рэй Роджерс']",," История забастовки работников одного из мясокомбинатов в Америке. Столкновение трудящихся, профсоюзов и властей. "
